No.	User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	IM	Total
2179	Youngamerican	1274	59	0	58	24	3	33	2	0	0	0	0	1453
308	Canderson7	1184	11	0	18	13	1	218	2	0	0	0	0	1447
1860	Spinningspark	643	81	33	88	4	36	510	10	32	0	9	0	1446
1051	Kcordina	1220	41	0	9	0	0	168	7	0	0	0	0	1445
1049	Kbh3rd	123	10	1	35	1	1	1210	49	14	0	0	0	1444
1403	No Guru	928	11	0	36	14	0	445	8	1	0	0	0	1443
1173	MBK004	798	22	0	157	5	21	382	17	11	0	25	0	1438
1929	TenOfAllTrades	432	18	3	85	5	14	815	42	19	0	5	0	1438
1613	Reedy	1251	33	4	45	16	15	42	11	0	0	20	0	1437
1440	Opabinia regalis	1410	5	0	15	2	0	3	0	0	0	0	0	1435
364	ChrisGriswold	1125	16	0	51	8	0	210	21	0	0	0	0	1431
21	Aaron Brenneman	1113	36	0	42	81	1	138	14	0	0	0	0	1425
436	DaGizza	1351	1	0	8	4	1	57	3	0	0	0	0	1425
783	Guanaco	513	188	0	40	42	0	383	257	0	0	0	0	1423
1988	Tim!	1341	27	0	4	3	0	46	2	0	0	0	0	1423
383	Cleared as filed	1346	19	0	0	0	0	53	2	0	0	0	0	1420
813	Haukurth	1204	69	0	15	34	0	81	13	0	0	3	0	1419
467	David Fuchs	1133	38	3	86	10	24	106	14	0	0	2	0	1416
612	EurekaLott	1218	105	4	29	1	3	51	0	0	0	0	0	1411
920	JamesR	1202	8	0	58	5	12	111	10	2	0	3	0	1411
522	Docu	1183	64	0	123	2	15	11	5	0	0	3	0	1406
999	Jonny-mt	1037	45	0	69	5	10	217	15	0	0	8	0	1406
1267	Meelar	1271	7	1	4	1	0	120	1	0	0	0	0	1405
1438	One	994	103	0	117	18	1	143	28	1	0	0	0	1405
995	Jon513	1329	20	0	3	0	0	43	1	0	0	2	0	1398
1572	R3m0t	1340	15	0	30	0	0	4	4	0	0	0	0	1393
1183	MLauba	997	144	142	35	1	8	54	1	8	0	0	0	1390
945	Jeepday	604	10	0	18	1	1	734	10	9	0	0	0	1387
48	Akhilleus	861	5	0	46	3	4	433	30	1	0	0	0	1383
619	Everyking	1318	4	0	8	12	0	29	12	0	0	0	0	1383
453	Danny	1076	126	0	26	9	0	105	29	0	4	7	0	1382
877	Interiot	1319	23	0	14	8	0	11	1	0	0	0	0	1376
