My76Strat	15 March 2011	Unsuccessful	WJBscribe	(34/37/11)
Inka 888	15 March 2011	WP:SNOW	Salvio giuliano	(1/8/0)
Slon02 (3rd)	12 March 2011	No consensus	WJBscribe	(45/19/10)
RadioFan (2nd)	7 March 2011	WP:SNOW	HJ Mitchell	(6/21/0)
WikiCopter (2nd)	7 March 2011	WP:NOTNOW	HJ Mitchell	(3/18/2)
Eduemoni	7 March 2011	WP:NOTNOW	HJ Mitchell	(0/6/1)
Ankitkool1988	6 March 2011	WP:NOTNOW	Gfoley4	(0/1/0)
Snottywong	24 February 2011	Withdrawn by candidate	Courcelles	(43/42/11)
Glane23	23 February 2011	No consensus	Kingturtle	(46/26/14)
Breawycker	20 February 2011	WP:NOTNOW	Gfoley4	(0/8/1)
Staffwaterboy (3rd)	13 February 2011	Withdrawn	Armbrust	(7/26/0)
Wcreed88	12 February 2011	WP:NOTNOW	Courcelles	(0/11/1)
GutiLucian02	5 February 2011	WP:NOTNOW	Gfoley4	(0/5/0)
Nyswimmer	4 February 2011	WP:NOTNOW	Dylan620	(0/5/1)
Core2012	29 January 2011	WP:SNOW WP:NOTNOW	Dusti	(0/9/0)
Reenem (2nd)	27 January 2011	WP:SNOW	Ktr101	(4/20/3)
GiantSnowman	21 January 2011	No consensus	The Rambling Man	(76/36/10)
Ctjf83 (2nd)	17 January 2011	Withdrawn	Xeno	(55/38/12)
Giftiger wunsch	12 January 2011	Withdrawn	28bytes	(7/8/1)
A930913	9 January 2011	SNOW	Ktr101	(0/11/0)
Cprice1000	1 January 2011	NOTNOW/withdrawal	Chaser	(0/11/4)
GSorbyDesroid (2nd)	28 December 2010	WP:NOTNOW	Courcelles	(1/9/2)
Guoguo12	27 December 2010	Withdrawn	MuZemike	(18/19/8)
Richwales	18 December 2010	No consensus	Nihonjoe	(58/44/9)
Laptopmaker	10 December 2010	WP:NOTNOW	Secret	(1/7/1)
Jerem43 (2nd)	10 December 2010	No consensus	bibliomaniac15	(53/32/5)
Darth Stabro	7 December 2010	WP:NOTNOW	HJ Mitchell	(1/12/0)
28bytes	3 December 2010	Withdrawn	Dylan620	(30/24/4)
The Arbiter	29 November 2010	Withdrawn	Nakon	(2/6/1)
Navy blue84	14 November 2010	Withdrawn	Navy blue84	(3/10/4)
Access Denied	11 November 2010	Withdrawn	The Utahraptor	(20/34/11)
Endofskull	10 November 2010	Withdrawn	Nihonjoe	(3/14/2)
BuickCenturyDriver	9 November 2010	Withdrawn	BuickCenturyDriver	(0/12/0)
The High Fin Sperm Whale (2nd)	8 November 2010	Withdrawn	The High Fin Sperm Whale	(1/5/0)
Porchcrop (4th)	8 November 2010	WP:SNOW	FridaesDoom	(0/6/1)
Redthoreau	4 November 2010	Withdrawn	Wifione	(18/22/5)
Ling.Nut	3 November 2010	No consensus	Bibliomaniac15	(113/63/7)
Alansohn‎ (2nd)	31 October 2010	Unsuccessful	Nihonjoe	(39/56/11)
Ezekiel63745‎	31 October 2010	WP:NOTNOW	Mkativerata	(0/7/0)
The Utahraptor (2nd)	28 October 2010	Withdrawn	Minimac	(8/28/6)
Halil marx07	27 October 2010	WP:NOTNOW	Courcelles	(0/9/0)
Aiken drum	27 October 2010	Withdrawn	Aiken drum	(15/27/11)
The Thing That Should Not Be (2nd)	26 October 2010	No consensus	Rlevse	(123/59/21)
