date,bases,open_access_bases,bytes,open_access_bytes
"04/07/2010",21527006356174,20884527000484,65018686755316,64349954396894
"04/08/2010",21797913227654,21155433871964,65309693320764,64640960962342
"04/09/2010",22191932949806,21549453594116,67016799322816,66348066964394
"04/10/2010",22232839007047,21590359651357,67336824706751,66668092348329
"04/12/2010",22283985816554,21641506460864,67712894647121,67044162288699
"04/13/2010",22366761796520,21724282440830,68321692863960,67652960505538
"04/14/2010",22429347042857,21786867687167,68376245191484,67707512833062
"04/15/2010",22472358871649,21825759574559,68521550529124,67848615771655
"04/16/2010",22504874481157,21858275184067,68749510043590,68076575286121
"04/19/2010",22611607108271,21965007811181,69502749597056,68829814839587
"04/20/2010",22617385068430,21970785771340,69509485057820,68836550300351
"04/21/2010",22623626351014,21977027053924,69516274718211,68843339960742
"04/22/2010",22627596469452,21980997172362,69520521792567,68847587035098
"04/23/2010",22693349615262,22046750318172,69957331325022,69284396567553
"04/24/2010",22797147599747,22150548302657,70688577357564,70015642600095
"04/25/2010",22844619698230,22198020401140,71059606738510,70386671981041
"04/26/2010",23050534224770,22403934927680,71924820359912,71251885602443
"04/27/2010",23129863820301,22483264523211,72370698685995,71697763928526
"04/28/2010",23293163956837,22646564659747,73581048444428,72908113686959
"04/29/2010",23414106716868,22747068961408,74025559378786,73329541729566
"04/30/2010",23512815012024,22825361646364,74433721484095,73716879543254
"05/01/2010",23614365009237,22926911643577,75150324793826,74433482852985
"05/02/2010",23701486789737,23014033424077,75834092023795,75117250082954
"05/03/2010",23749459336123,23062005970463,76199658533303,75482816592462
"05/04/2010",23832420689892,23144967324232,76621718580383,75904876639542
"05/05/2010",23930115879030,23242662513370,77386234442171,76669392501330
"05/06/2010",24466007439624,23536041158078,78847800601045,77876188260787
"05/07/2010",24544751668641,23613941131557,79268235192734,78293145440554
"05/08/2010",24668636286971,23737825749887,80151241099836,79176151347656
"05/09/2010",24705758413730,23774946116217,80438260872154,79463163606363
"05/10/2010",24794661549475,23863849251962,81077359684223,80102262418432
"05/11/2010",25018389997996,24067263320103,81926770407519,80918479488251
"05/12/2010",25120435113424,24169308435531,82661415637066,81653124717798
"05/13/2010",25126093272494,24174966594601,82668034463891,81659743544623
"05/14/2010",25357895314000,24406261325856,82911937562594,81901552716569
"05/15/2010",25405677449446,24453630681498,82962896264696,81950830669836
"05/17/2010",25406839200150,24454792432202,82965259198354,81953193603494
"05/18/2010",25409471115682,24454965333994,82975812042285,81953586572622
"05/19/2010",25440748676926,24475381805117,83061666423738,81994771653064
"05/20/2010",25457195648878,24487638091968,83091675874854,82007540455486
"05/21/2010",25467612095221,24498041996493,83104933945870,82020746893476
"05/22/2010",25486940112315,24516682334449,83128777582801,82041733531244
"05/23/2010",25492324581089,24520491434095,83139444011358,82045899766480
"05/24/2010",25557293987511,24584273663378,83209919405210,82111965108844
"05/25/2010",25754183257385,24777058708719,83425438275914,82310836006503
"05/26/2010",25858411036739,24879808625632,83538422961726,82417967484136
"05/27/2010",25918695934248,24936127526860,83613781255154,82477171963543
"05/28/2010",25977527143865,24987770533854,83697646397305,82531345877790
"05/31/2010",25980482160330,24990725550319,83701897163099,82535596643584
"06/01/2010",26099786357476,25109087081260,83829997194634,82659592164712
"06/02/2010",26101048134733,25110326642412,83832990093076,82662493980801
"06/03/2010",26101049760626,25110326642412,83832996825873,82662493980801
"06/04/2010",26232970099453,25235703390779,83993309020049,82795340711878
"06/06/2010",26233277628298,25236010919624,83994019816728,82796051508557
"06/07/2010",26338543976475,25338658775112,84113279672036,82904887406548
"06/08/2010",26577157118152,25577232579789,84363232522145,83154675421920
"06/09/2010",26591443894250,25580313348380,84413040258541,83158544511956
"06/10/2010",26592980345220,25581838146229,84414856860690,83160313495744
"06/11/2010",26610807109014,25598307617081,84438446269877,83182155791461
"06/14/2010",26613664053260,25601164561327,84442365382946,83186074904530
